,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,0.39,0.387406107,0.360528813,0.385179589,0.349749974,0.334565962,0.32698374,0.326083614,0.33,0.24,0.14,0.24,0.313678476,0.287744991,0.295266413,0.281179875,0.281674303,0.282585914,0.263254733,0.265223013,0.264526473,0.258433327,0.261736936,0.263516154,0.242661776,0.253173484,0.266578452,0.260992269,0.260080251,0.259816342,0.255777477,0.23743345,0.235897993,0.235897672,0.246944944,0.233039231,0.26328189,0.271713028,0.280522417,0.294987735,0.295636599,0.294689874,0.287443376,0.285300106,0.27896358,0.264331648,0.250888612,0.241369491,0.228868124,0.235646949,0.229508908,0.22480363,0.268914987,0.275737003,0.335769949,0.351837089,0.36143943,0.37222813,0.382029025,0.392855532,0.400685133,0.408834224,0.404652607,0.409095896,0.405776689,0.409047031,0.407896939,0.405711341,0.405085193,0.403085006,0.399704929,0.393302185,0.390842731,0.387069306,0.381146877,0.3770788,0.37,0.36,0.358929791,0.353302789,0.346715545,0.341098504,0.334251525,0.327420536,0.321224491,0.313991894,0.30720133,0.301380718,0.294597997,0.286046566,0.2791314,0.271751661,0.264592201,0.257141154,0.25050911,0.241620538,0.234575538,0.226470588,0.218775586,0.6
12,0.33,0.327436597,0.341278539,0.327132604,0.347429441,0.350472269,0.329473967,0.316769807,0.329559106,0.306058732,0.24,0.15,0.26,0.28,0.291008142,0.277941425,0.282211039,0.275243466,0.25261934,0.253753534,0.254669555,0.259501716,0.259623986,0.251596099,0.256077117,0.266351489,0.247965444,0.258080815,0.262974371,0.255970913,0.246059762,0.246267107,0.238398445,0.237166554,0.238464277,0.250101991,0.255235894,0.273681699,0.290569676,0.294807998,0.297790613,0.295449562,0.293119858,0.287713275,0.270629216,0.261526914,0.25179302,0.245158703,0.232779616,0.231782946,0.213618545,0.217159089,0.287998956,0.300571882,0.320020098,0.35380045,0.37012134,0.374127606,0.390611023,0.39740523,0.403242942,0.402864178,0.408344498,0.405464177,0.405910848,0.40912427,0.406643066,0.409102098,0.401535666,0.398965115,0.397382933,0.390082807,0.38772016,0.384015868,0.379104986,0.373169462,0.367775634,0.363003108,0.357916948,0.351377129,0.346051391,0.33884803,0.333005614,0.32665976,0.320021362,0.31406399,0.30700423,0.300619793,0.292742333,0.285225493,0.278402523,0.272194319,0.263500955,0.256076584,0.248663645,0.24095985,0.233232072,0.225655206,0.217480518,0.6
13,0.311102117,0.3089706,0.332167116,0.350562893,0.338689302,0.319480173,0.342695888,0.324709209,0.307051155,0.306677814,0.301829758,0.26,0.18,0.2,0.277639875,0.28225832,0.266910778,0.271188806,0.271665036,0.272974621,0.266026118,0.260586486,0.256175963,0.252989857,0.26183523,0.255470422,0.260360853,0.246963637,0.251964035,0.256868453,0.264538831,0.252419711,0.239876525,0.255270324,0.237650267,0.259044039,0.261108967,0.273066129,0.283220639,0.294854563,0.291255467,0.288404953,0.280563986,0.280446687,0.267886952,0.255821777,0.258075413,0.243496706,0.238057057,0.242000029,0.231654472,0.250976156,0.272920118,0.299653668,0.329061558,0.352758454,0.362917267,0.377452468,0.38531845,0.386746849,0.400890535,0.403628998,0.407708744,0.409052913,0.405373256,0.402847645,0.40524177,0.400689044,0.400846756,0.397789922,0.394621675,0.393387871,0.387664011,0.38,0.379020987,0.373118015,0.367656744,0.363459158,0.355660689,0.349007643,0.344939585,0.337715908,0.331626922,0.325594607,0.320095148,0.312292066,0.305311693,0.297904656,0.291808771,0.28436398,0.277071365,0.270573016,0.263095637,0.25466431,0.247545978,0.240217655,0.232853132,0.224326078,0.216775995,0.59
14,0.33,0.380052094,0.313266043,0.321182653,0.34075738,0.328595642,0.319387651,0.310973109,0.310679252,0.303096356,0.296016562,0.28,0.2,0.12,0.25,0.26,0.282211704,0.262946672,0.26918187,0.260520171,0.253039347,0.26415472,0.269239377,0.253827176,0.252308041,0.259709066,0.25096541,0.254716905,0.251059227,0.258734822,0.259985465,0.247392353,0.26062548,0.254527967,0.253446981,0.241417413,0.26933871,0.275521836,0.285670196,0.290737934,0.289825819,0.283120882,0.280421876,0.275471675,0.265397189,0.257465758,0.246849825,0.23848813,0.236579911,0.234347295,0.243908227,0.233233013,0.245656704,0.3241338,0.321939094,0.334007512,0.350509905,0.370224361,0.381847191,0.386488106,0.393194051,0.395726799,0.401972596,0.404975044,0.40159437,0.406588774,0.399963837,0.40090166,0.399419037,0.395791935,0.395913444,0.39,0.385746963,0.381339986,0.377246788,0.368933241,0.36633454,0.361282226,0.355194299,0.350214356,0.343792181,0.337597162,0.330301609,0.325147374,0.318792953,0.311294523,0.30428631,0.29722979,0.291352357,0.283129224,0.277133843,0.269410187,0.261952165,0.253718964,0.246524347,0.239789419,0.231465343,0.223579323,0.21591723,0.59
15,0.35,0.34665789,0.345942238,0.327394507,0.314695633,0.319719061,0.300164374,0.303248324,0.311727166,0.286964395,0.30004471,0.294521208,0.281246936,0.25,0.18,0.19,0.27903905,0.263487405,0.276067699,0.277165076,0.27678282,0.263666744,0.268296641,0.275023655,0.251809526,0.252905519,0.248328378,0.262200718,0.261066973,0.255695498,0.262066944,0.256578183,0.252307241,0.247896928,0.241253041,0.267100319,0.265623823,0.277823047,0.278929894,0.294213908,0.289870941,0.282921325,0.272979319,0.269093155,0.260354555,0.256768112,0.245848095,0.243992212,0.251488983,0.241021469,0.253795577,0.231449374,0.234805072,0.296764081,0.316780036,0.325434866,0.358263846,0.37412882,0.379100271,0.383340502,0.393907609,0.401573642,0.396988954,0.405200171,0.401321381,0.395926567,0.400070205,0.400552507,0.393139979,0.39542361,0.389719275,0.387052839,0.384721896,0.378138681,0.374325271,0.369915386,0.364446546,0.359777395,0.353373405,0.347472355,0.341602915,0.335350203,0.328881958,0.32409582,0.316189111,0.309787737,0.30313105,0.296874742,0.288828765,0.281702791,0.274432088,0.267852104,0.259870826,0.254004648,0.24619727,0.237865018,0.23057844,0.222213205,0.214739784,0.59
16,0.327671301,0.323445449,0.294134231,0.310873098,0.30059855,0.294983934,0.307555501,0.270714343,0.284417937,0.292809524,0.288333125,0.295660565,0.292200215,0.26,0.19,0.12,0.26,0.25728099,0.26743276,0.275592499,0.27119151,0.266562245,0.259265975,0.268788592,0.256956592,0.247806054,0.253036438,0.264677555,0.260354592,0.25458313,0.265278183,0.254493473,0.253548243,0.253653209,0.252696464,0.257825212,0.273141839,0.26924866,0.274458334,0.284863929,0.279777794,0.277066058,0.271181944,0.268950321,0.258671252,0.254691464,0.247292478,0.242167977,0.236157236,0.253983275,0.260609567,0.24660303,0.268351593,0.307666928,0.333593603,0.346168739,0.353293312,0.373625654,0.372361201,0.395448917,0.392708278,0.393601932,0.40117925,0.400025192,0.398334022,0.399883369,0.397978406,0.394204306,0.394226856,0.391226794,0.390596279,0.385253502,0.38188887,0.37879231,0.373501073,0.369167825,0.36194691,0.357829627,0.350524132,0.347042138,0.341063123,0.3346195,0.328378909,0.321164362,0.31569061,0.307897314,0.301532969,0.294527793,0.287533049,0.280376142,0.273617685,0.265857442,0.258727371,0.251268043,0.245200989,0.236256815,0.229225088,0.221865544,0.215272816,0.59
17,0.276438798,0.301579482,0.281878162,0.288799778,0.300527816,0.284568785,0.285359973,0.290751144,0.285139527,0.291483144,0.282819119,0.284712808,0.280788401,0.281508065,0.273280035,0.26,0.2,0.21,0.271653287,0.28219175,0.260310495,0.251308161,0.264850309,0.265086002,0.255888909,0.248665175,0.258009215,0.255787268,0.261678438,0.25775077,0.261168477,0.24227408,0.250001843,0.248655648,0.248881004,0.25785986,0.26689378,0.268328068,0.274271627,0.269645867,0.271216678,0.284690588,0.277773913,0.269389934,0.266726961,0.255118421,0.253755981,0.241973302,0.269395735,0.239569251,0.257204,0.254575563,0.274801561,0.30194345,0.324096904,0.354564316,0.353049222,0.361514535,0.374034184,0.376679493,0.383726629,0.385416579,0.395321565,0.395508804,0.39898761,0.392838839,0.396625103,0.39565008,0.390959133,0.389704614,0.390186531,0.383574969,0.379338203,0.375124187,0.37223641,0.365883267,0.360693618,0.355512451,0.350642555,0.343715739,0.339515914,0.334211684,0.326312243,0.320703737,0.313156647,0.307173901,0.300737455,0.293446984,0.287087579,0.279297062,0.272112912,0.264905948,0.258808974,0.25005909,0.243629468,0.235938649,0.229855957,0.225320523,0.215456799,0.58
18,0.29,0.328787386,0.316013694,0.280666627,0.302477834,0.287591875,0.279648126,0.281778676,0.280018779,0.28818219,0.285203424,0.26611471,0.279459023,0.27650961,0.26753151,0.27,0.21,0.15,0.271347245,0.271803673,0.252487772,0.252476921,0.26411731,0.262078002,0.264299893,0.25166942,0.25578555,0.255205084,0.272637423,0.266172932,0.258435156,0.261075376,0.25547799,0.249441627,0.255911956,0.251029612,0.263042597,0.263376079,0.269496565,0.272249864,0.27678883,0.272859081,0.275764016,0.268471335,0.26850154,0.257535335,0.247720951,0.25060682,0.2628084,0.251064894,0.257846478,0.252691147,0.285563479,0.305063845,0.316929454,0.330562091,0.346378363,0.360839419,0.375835183,0.375827455,0.385304897,0.38409188,0.391888226,0.38936042,0.398331774,0.399189278,0.392911874,0.394766408,0.391720279,0.387306692,0.386528847,0.38312575,0.377284779,0.376071138,0.36951011,0.365338105,0.360795338,0.354334464,0.350337515,0.343288973,0.336278987,0.332153165,0.323967175,0.318466778,0.31263397,0.305278901,0.299792748,0.291690126,0.286051228,0.277507761,0.270204433,0.265230596,0.259390146,0.25015936,0.243264957,0.238705004,0.232551221,0.22494945,0.59,0.58
19,0.274150763,0.259667886,0.259222192,0.294146439,0.294437959,0.28289321,0.27855553,0.262491847,0.27761147,0.270715076,0.262258631,0.287580414,0.280234684,0.27696022,0.281662758,0.25813402,0.256073482,0.272788863,0.23,0.24,0.241043873,0.250954791,0.271210381,0.26451161,0.261050995,0.251312851,0.250755404,0.263052787,0.2567733,0.25527534,0.266973745,0.265086183,0.262031377,0.266630615,0.257170399,0.268286476,0.264503449,0.269444441,0.267084378,0.273124402,0.272889027,0.276902236,0.261755158,0.275080996,0.264992986,0.261876624,0.255776435,0.254641654,0.249869494,0.259160735,0.276038271,0.2501325,0.252103957,0.2914524,0.307396906,0.327859953,0.342625035,0.362496746,0.353726789,0.374666147,0.380721392,0.385585827,0.394693476,0.385552242,0.394665269,0.39518592,0.393669752,0.388998579,0.391184323,0.385665794,0.382993719,0.380827115,0.375889521,0.373065849,0.366293743,0.363491689,0.356716202,0.352186747,0.34631401,0.342475226,0.335779412,0.329807623,0.323603231,0.316934722,0.310510547,0.30410711,0.297932179,0.29022518,0.284209368,0.276893907,0.269642572,0.263228481,0.25464862,0.25243098,0.245224964,0.239491462,0.232102791,0.22107568,0.58,0.58
20,0.301328779,0.31228349,0.284209483,0.298005061,0.297688331,0.283342423,0.286399086,0.276669785,0.271088516,0.275191111,0.250958221,0.27468434,0.275780171,0.272912684,0.268651438,0.268519427,0.263943824,0.278598843,0.24,0.18,0.23,0.24,0.25007539,0.277540973,0.262800221,0.256453872,0.263209117,0.25499895,0.26872873,0.263048636,0.262736841,0.264014719,0.262532251,0.255029182,0.258889703,0.264229478,0.27543625,0.265724585,0.262276646,0.27572431,0.280838701,0.277122978,0.283241481,0.276286444,0.268726574,0.272964979,0.259377764,0.253832592,0.2511751,0.26506845,0.239245567,0.272494234,0.273732718,0.301724155,0.325362042,0.327100842,0.34267808,0.35801132,0.366702541,0.367333764,0.379785884,0.387000238,0.385688618,0.392142644,0.383875483,0.386351621,0.386035068,0.38789018,0.387084773,0.38497741,0.381768233,0.378361573,0.371198711,0.369618529,0.363315152,0.360633242,0.355981577,0.349336116,0.34557705,0.339556439,0.332778347,0.326956646,0.321473427,0.316133036,0.309479715,0.302004828,0.295836591,0.288946404,0.282976367,0.274871071,0.268266269,0.266869979,0.258537571,0.25236352,0.244582853,0.235747017,0.227690626,0.221643487,0.213006711,0.58
